"
天热打鼓球
","


有时候，有些话一定要理解清楚了再回答！三天前的一个晚上，刚冲完凉出来，就看着老婆拿着我的行驶证叹息道：这人也是怪，你说你吧，以前没买车，天天想开车，现在自己有车了，却说开车累，好多天也不见你开一次。我想都没想就随口答道：那辆破车开几年了，有啥意思，等我有钱了，换辆新车，你看我不天天

"
"
拈花··染轻烟う
","


昨天去女友家过节，客厅里女友的奶奶在低头摆弄着手机。为了表达我的真诚祝福，我急忙跪下来磕头: 奶奶高寿，端午安康啊！奶奶猛然抬头，光着脚丫蹭的跳到沙发上，睁大眼睛:  姐夫，这可使不得啊！我不就染了个奶奶灰么，当不得你这样跪拜啊！我-擦！现在初中生都流行奶奶装了么？

"
"
骑着二哈啃黄瓜
","


楼上男女的贴身衣物老掉我们阳台，晦气的很，闺蜜一生气就丢斜下面阳台去了。。。10分钟后，物业保安拿些喇叭在楼下大喊:各位住户，高楼之间禁止玩击鼓传花。。。

"
"
再见单身狗
","


来的有点早，我哥还没出发去他岳父家，嫂子打开冰箱拿出粽子：来，先吃粽子哈！并且顺便撕开了包粽子的叶子……我都惊呆了！：不得煮一下，再吃吗？嫂子：我都吃了30多年了，这玩意还用煮？虽然这是我第一次吃粽子味的冰疙瘩，口感还是蛮不错的😄

"
"
骑着二哈啃黄瓜
","


闺蜜和一男同事业务关系工作互动非常多，被男同事老婆怀疑当了小three，被她老婆jing 告:你要不离他远点，我会让你后悔的。闺蜜害怕的要死，本就和这男同事没什么就很委屈，找我拿主意，我悠悠的就一句话:咬人的狗不会叫，你安心吧.怀着忐忑的心她就去睡觉了，而我则心里开始发狠准备明天下午替闺蜜出气。第二天刚上班不久，闺蜜冲到我办公室一脸懵说道:她这男同事满脸都是抓痕，问他咋么了，他说昨天他家宠物猫抓的，看到我走过去，他吓的离的我远远的。。。

"
"
一脸，美人痣。
","


上午和师兄聊天，他得意的说：“找个女朋友其实不难，只要去追刚刚失恋的就好了。失恋后的女孩最柔弱、最孤独，这时候很容易迷迷糊糊就答应了。”下午和师姐聊天，她得意的说：“找个男朋友其实很容易，只要说刚刚失恋就好了。然后男生就都来了。”

"
"
胖香
","


又到端午节，昨天我妈说去家后边芦苇荡整点柴叶包粽子，我说我也去，我妈摆摆手:“你可别来了，前年刚进去陷里面去了，我回来喊了好几个邻居才把你拔出来。去年找块门板踩着进去，三分钟没有你摸到了蛇，嗷一嗓子把李小飞吓的差点尿裤子，追你着你打了半天，今年你还想去整啥事？”

"
"
天然呆。oO
","


老公骑车从家里那边过来，两个小时的车程，没戴护袖，太阳特毒，晒得手臂脱了层皮。孩子上学，老公去送。他看了看脱了皮的手臂说，我戴个护袖吧。我嘀咕了句:两个小时不戴，几分钟的事还戴。。

"
"
你不懂蛋蛋的忧伤
","


今天早.上我跟我妈说:早饭只吃粽子吗?会不会太普通了。我爸说:你要是想不普通，你可以去投江。我:。。。

"
"
带翅膀的老司机
","


科目一时，我紧张的和教练说“你给我的书都没怎么看，这次恐怕要挂科了！”教练说“没事，不会的题就怎么怂就怎么选”

"
"
♀大轮明王♀
","


在万达集团上班，昨天晚上下班后女经理约我去她的出租屋里喝酒。刚到女经理的出租屋，突然听到敲门声。女经理大惊失色说：“不好，我爸来了！”我一脸不屑地说：“有我在，没有摆不平的事情，你去开门！”开门后一个中年男人，我立马走上去，有礼貌地说：“叔叔，您来得正好，把您女儿这个月的房租交了吧！”女经理在旁边，一直傻笑，中年男人也笑了说：“小伙子，可以啊，说谎脸不红不白的！”我心想，莫非被戳穿了，转头惊恐而看着女经理。女经理笑着说：“他是房东！”

"
"
倾心倾情%%
","


有个同事请吃饭问我去不去，我说不去了，她也说我不去为妙，但是得告诉她个理由她好给一起吃饭的人说，呃……我不知道编什么理由啊，她问：你以前没有遇到过这样的事么，以前怎么找的理由就怎么告诉 我呗！enenen……我：我真没遇到过这样的事，别人请我吃饭然后不让我去的，还让我想个不要去的理由……

"
"
吃了两碗又盛
","


高考第一天的考试即将结束，一个妈妈举着向日葵准备迎接她的孩子，向日葵的寓意是一举夺魁。旁边一大妈嫌弃地说:你怎么还举个黄花呢？多不吉利，孩子考试不得黄啊，，，，听了这话考生妈妈不干了，与大妈撕打起来，向日葵都干碎了

"
"
三年一班扛把子
","


汽油:原油降价我不降，我跟原油不一样原油涨价我就涨，原油对我有影响[笑哭]

"
"
爱上钓鱼的猫
","


媳妇因儿子学习成绩差，天天骂他，儿子产生逆反心理，母子关系很差。为了缓和矛盾，我找儿子谈话：妈妈一直是爱你的，从小都不舍得打你。儿子：我妈说打过我三次，你怎么说没打过我?我叹了口气：是打过三次，没打掉！

"
"
正版煮茶
","


小时候，表弟肚子痛，想呕呕不出来，我想了一招，用开塞露塞他嘴里，挤几滴进去。还别说，真管用，表弟吐了一地。不是因为开塞露好用，而是他后来听说开塞露是已经用过的...

"
"
天然呆。oO
","


一句话不割，一看宫斗剧就会想到我婆婆。。。

"
"
夏有凉风秋望月
","


听姥姥说，只要把鸡它翻到按在地上，拿着刀在鸡头面前画两条竖线，鸡就不会动了。早上突发奇想，想验证一下姥姥说的话。抓了一只奶奶用来下蛋的老母鸡，也画了两条竖线，发现那只鸡，只盯着我看了一小会儿，就站起来跑走了。想到姥姥肯定是骗我，气的我就拿起刀扔向鸡，居然砸到鸡上，还把脖子砍断了。刚好在外打麻将的奶奶回来做饭，看到地上的刀和鸡。那天我是含泪吃了两个鸡腿的

"
"
♀大轮明王♀
","


堂哥是个老光棍，他39岁时还没有老婆，后来媒人给介绍了个怀孕的。堂哥说不介意，俩人就结婚了。后来有次孩子生病，抽血化验的时候才发现孩子的血型跟堂哥一样，。进一步做DNA化验，结果惊人地发现：她是堂哥亲生孩子！堂哥一下子就懵了，其他人更懵了……

"
"
此处省约一万字
","


记得小时候家里有次煲鸡汤，我爹在锅里捞鸡爪吃，捞了半天，就捞出来一只，还有一只怎么也捞不出来，很是迷惑。我说:另一只被我吃掉了！我爹悻悻的说:哦，那这一只也归你！我说:为什么呀？这只你吃呀！我爹说:你听说过么？同一只鸡的两个鸡爪不能分开来两个人吃，这样两个人会吵架的！我:？？？原来，我爹小时候偶尔炖鸡，两只鸡爪都是爷爷吃的，从来没有别的人分享，所以，一家人一直都是和和睦睦的。如果有人想分吃一只，我爷爷就会用这个道理教育家人。最后，我爹说，你知道为什么现在世界上那么多纷争么？就是市场
…
查看全文"
"
笑一笑，放下
","


10岁的女儿抗议说，妈妈，你以后能早点回家不加班那么晚吗，别让爸爸照顾我了，他照顾的我都快能独立了……

"
"
狐小乔
","


假期前，连续加了几天班，累得整个人要散了架。回去以后发现男朋友打麻将去了，饭也没吃，倒头就睡了。不知道过了多久，在男朋友的咆哮声中，我睁开惺忪的睡眼，被眼前的一切惊呆了：家里进了小.偷，除了我和床，搬得也就剩承重墙了。男友一把把我拎起来：你快好好看看，你被那啥了没有！

"
"
糗友nOYkH8
","


两个阿姨在广场交流自己的闺女，一个阿姨一直说，我女儿在你女儿这么大都结婚了，我女儿在你女儿这么大都买了几十万的车，我女儿在你女儿这么大都有几十万存款……只听另一个阿姨说，你女儿在我女儿这么大都堕胎三次了，离婚两次了，被人家原配追到你家五次了……

"
"
就算有记忆
","


从前一农夫与寡妇打赌，到乱坟坡睡49天，那寡妇便嫁他为妻。农夫答应了，他带着小酒到坟头睡觉，却遇上一个丑妇。农夫疑是寡妇找来吓他的，便一点不惧，与她喝酒交谈。 农夫名叫陈康，永州icon人氏。村里人也叫他陈大胆，他就是个憨胆大，敢做一些别人不敢做的傻事，至于鬼怪异类，他从不相信。 陈大胆家中贫穷，大胆也没有什么用处，他年近四十，还没有娶媳妇。到了这般年龄，他也做好了打一辈子光棍的打算。 村里人喜欢拿他开涮，时常搞些事糊弄他，图大家有个乐子。 这天，大伙儿在坡上大地收麦子。一个年前
…
查看全文"
